"path";"hash";"size (mb)"
"C:\Program Files\Git\usr\bin\captoinfo.exe";"E15FBEA5E21FAEC453F791A384845248C5E3AB9A73FBA8971E844733FCCCB178";"0,01"
"C:\Program Files\Git\usr\bin\infotocap.exe";"E15FBEA5E21FAEC453F791A384845248C5E3AB9A73FBA8971E844733FCCCB178";"0,01"
"C:\Program Files\Git\usr\bin\tic.exe";"E15FBEA5E21FAEC453F791A384845248C5E3AB9A73FBA8971E844733FCCCB178";"0,01"
"C:\Program Files\7-Zip\7z.dll";"34AD9BB80FE8BF28171E671228EB5B64A55CAA388C31CB8C0DF77C0136735891";"0,2"
"C:\Program Files\Far Manager\Plugins\ArcLite\7z.dll";"34AD9BB80FE8BF28171E671228EB5B64A55CAA388C31CB8C0DF77C0136735891";"0,2"
"C:\Program Files\7-Zip\7z.sfx";"8D0FC5658A81AA86188C9F8A94CA6ABBCDEDEE89D039274228E012BF1F3A9E41";"0,02"
"C:\Program Files\Far Manager\Plugins\ArcLite\7z.sfx";"8D0FC5658A81AA86188C9F8A94CA6ABBCDEDEE89D039274228E012BF1F3A9E41";"0,02"
"C:\Program Files\7-Zip\7zCon.sfx";"BA4C1AE2E5163883D23202CA471F85E17E82A277ECE4CA606DCD57ACE924E8D9";"0,02"
"C:\Program Files\Far Manager\Plugins\ArcLite\7zCon.sfx";"BA4C1AE2E5163883D23202CA471F85E17E82A277ECE4CA606DCD57ACE924E8D9";"0,02"
"C:\Program Files\Git\usr\lib\terminfo\73\screen-bce.konsole";"9C6484C0B65E5C08743D10CFD90C33CD0FEB7DCADB783EA2B2A712135A909564";"0"
"C:\Program Files\Git\usr\share\terminfo\73\screen-bce.konsole";"9C6484C0B65E5C08743D10CFD90C33CD0FEB7DCADB783EA2B2A712135A909564";"0"
"C:\Program Files\Git\usr\lib\terminfo\78\xterm+pce2";"7B5AF09C20A11EECA06D2565FB006A92C3EB3881BC70BCD04C4C84EBD3625284";"0"
"C:\Program Files\Git\usr\share\terminfo\78\xterm+pce2";"7B5AF09C20A11EECA06D2565FB006A92C3EB3881BC70BCD04C4C84EBD3625284";"0"
"C:\Program Files\Git\usr\lib\terminfo\78\xterm+sm+1002";"B3FA050397E828AC55E2B985747EC2774DC2ABEF986FE764460182E58C075351";"0"
"C:\Program Files\Git\usr\share\terminfo\78\xterm+sm+1002";"B3FA050397E828AC55E2B985747EC2774DC2ABEF986FE764460182E58C075351";"0"
"C:\Program Files\Aladdin\eToken\PKIClient\LogoImages\CommonUIChangeAdminPasswordBackground.jpg";"DE2B4F4ECCB3E09BB5FBBE314391EB0CA820ACE0E393E4974F76001A24AD8802";"0"
"C:\Program Files\Aladdin\eToken\PKIClient\LogoImages\CommonUISetPasswordBackground.jpg";"DE2B4F4ECCB3E09BB5FBBE314391EB0CA820ACE0E393E4974F76001A24AD8802";"0"
